"dx=0.05 over [-20,20]"
max N: 10000
ln N,ln sigma 1,ln sigma 2,ln sigma 3
6.93925394604,-3.56494256875,-3.03629329832,-3.49734514959
6.94022246912,-3.56588371675,-3.03705827828,-3.49831363222
6.94119005507,-3.56321730861,-3.03783504785,-3.49927526257
6.9421567057,-3.56394715785,-3.03869149539,-3.50012469157
6.94312242282,-3.56461733285,-3.03959973062,-3.50096025976
6.94408720823,-3.56525558607,-3.04030477115,-3.49916799067
6.94505106373,-3.56593355613,-3.04126385058,-3.49884598913
6.9460139911,-3.56561049059,-3.04222673097,-3.49974976381
6.94697599214,-3.56579043889,-3.04299474232,-3.50070529635
6.94793706861,-3.56675085711,-3.04375449523,-3.50166536714
6.94889722231,-3.5677022624,-3.04455179069,-3.50262289806
6.949856455,-3.5686073856,-3.04542129518,-3.50343532909
6.95081476844,-3.56956281069,-3.04636089907,-3.50435237151
6.9517721644,-3.56919937029,-3.04729702108,-3.50378697033
6.95272864462,-3.57014920805,-3.04821008766,-3.50449358398
6.95368421087,-3.5694429072,-3.04916554717,-3.50431831311
6.95463886488,-3.57038517964,-3.05007002557,-3.5017269886
6.9555926084,-3.57089436508,-3.05097980236,-3.50252235096
6.95654544315,-3.57184155548,-3.05173355297,-3.50347506637
6.95749737088,-3.57236276642,-3.0526826352,-3.50426110684
6.9584483933,-3.57331377808,-3.05362054087,-3.50496007605
6.95939851213,-3.57419236651,-3.05440465496,-3.50582500583
6.9603477291,-3.57425862217,-3.05522471849,-3.50677369258
6.96129604591,-3.57329164174,-3.05601174385,-3.50764885146
6.96224346427,-3.57392000563,-3.0563816137,-3.50851164368
6.96318998587,-3.57477324825,-3.05719279394,-3.50939411892
6.96413561242,-3.57528953384,-3.05813545506,-3.50783803197
6.9650803456,-3.57607603125,-3.0589123493,-3.50877042437
6.96602418711,-3.57697053371,-3.05966338225,-3.50945928851
6.96696713861,-3.57776094149,-3.06058960407,-3.51039948148
6.9679092018,-3.57837820992,-3.06144000255,-3.51110325757
6.96885037834,-3.57931828504,-3.06218176288,-3.51204389597
6.9697906699,-3.5802183265,-3.06292865498,-3.51298373108
6.97073007814,-3.58115237627,-3.06376413277,-3.51391361211
6.97166860473,-3.58185468284,-3.06466112191,-3.51480698477
6.9726062513,-3.58092130844,-3.06557798395,-3.51526747369
6.97354301952,-3.58185405405,-3.0664875332,-3.5161527038
6.97447891103,-3.58232978106,-3.06732489017,-3.51624757535
6.97541392746,-3.5758857226,-3.06825938379,-3.51326434962
6.97634807045,-3.57677319388,-3.06910697731,-3.51403136519
6.97728134163,-3.57761863643,-3.0699293253,-3.51450700698
6.97821374263,-3.57454336708,-3.07068062172,-3.51543363751
6.97914527507,-3.57544416955,-3.07142616292,-3.51636509757
6.98007594056,-3.57637129701,-3.07180270553,-3.51673557889
6.98100574072,-3.57696564827,-3.07240124884,-3.51709810954
6.98193467716,-3.57392207799,-3.07317853241,-3.51778841882
6.98286275147,-3.57484186322,-3.06761363088,-3.51376341472
6.98378996526,-3.57576905215,-3.06834463808,-3.51469052833
6.98471632012,-3.57479155073,-3.06922639062,-3.51560215798
6.98564181764,-3.57571525654,-3.06978426207,-3.51644858844
6.98656645941,-3.57658058907,-3.07019903723,-3.51655478787
6.987490247,-3.57151497642,-3.07106489626,-3.5172535162
6.988413182,-3.57242454667,-3.07186977213,-3.518079349
6.98933526597,-3.57334277424,-3.07269605532,-3.51852068312
6.99025650049,-3.57424827856,-3.07330397353,-3.51854778538
6.99117688712,-3.57409107472,-3.07418197399,-3.51946764332
6.99209642742,-3.57477329029,-3.07501290366,-3.52032881786
6.99301512293,-3.57568472291,-3.07578343498,-3.52124748749
6.99393297522,-3.57659965571,-3.07668820154,-3.52181292562
6.99484998583,-3.57703170403,-3.07758194359,-3.52241721306
6.9957661563,-3.5779365345,-3.07847121747,-3.52332619464
6.99668148818,-3.5788453417,-3.07930050385,-3.52421596792
6.99759598298,-3.57897434039,-3.08008865427,-3.52509747276
6.99850964225,-3.57970275475,-3.08080736773,-3.52601113144
6.99942246751,-3.57836506215,-3.08171967357,-3.52554631467
7.00033446028,-3.57882474376,-3.08250566063,-3.52641438007
7.00124562207,-3.57965075772,-3.08331957435,-3.5269663059
7.0021559544,-3.58055474546,-3.08414996271,-3.52784303112
7.00306545879,-3.58015902529,-3.0848834567,-3.52871448997
7.00397413672,-3.58095297451,-3.08573039156,-3.52959746058
7.00488198971,-3.58129423094,-3.08654336682,-3.53038392052
7.00578901925,-3.58200867564,-3.08619868935,-3.52918662893
7.00669522684,-3.58291174539,-3.08689866505,-3.5287715176
7.00760061395,-3.58379811584,-3.08779190707,-3.52955791183
7.00850518208,-3.58468625544,-3.08856625972,-3.53043804438
7.00940893271,-3.58557687637,-3.08946067313,-3.52937854016
7.01031186731,-3.58602582198,-3.09020503434,-3.53025521897
7.01121398735,-3.58690366515,-3.09095291825,-3.53115555796
7.01211529431,-3.58780495365,-3.09167446108,-3.53205686481
7.01301578964,-3.58791629591,-3.09238319467,-3.53295735861
7.01391547481,-3.5888105999,-3.0931016779,-3.53385549286
7.01481435128,-3.5896899459,-3.09384432515,-3.53472099395
7.01571242049,-3.59057487728,-3.09455690267,-3.53559991506
7.01660968389,-3.58775365215,-3.0954509902,-3.5360156691
7.01750614294,-3.58792497405,-3.09615804468,-3.53690792025
7.01840179907,-3.58856273466,-3.09699097137,-3.53757954761
7.01929665372,-3.58825998415,-3.09774235829,-3.53842033731
7.02019070831,-3.58915403869,-3.09857419986,-3.53930408976
7.02108396429,-3.58989948968,-3.099278129,-3.54019680124
7.02197642307,-3.58981414745,-3.09816952978,-3.54017644105
7.02286808608,-3.59052070202,-3.09887592958,-3.54106809721
7.02375895474,-3.59141076546,-3.09970391005,-3.54185259721
7.02464903045,-3.59228784169,-3.10059257205,-3.54270930503
7.02553831464,-3.59314875933,-3.10138293464,-3.543522351
7.0264268087,-3.59403509402,-3.10219415298,-3.54440368743
7.02731451404,-3.59492100781,-3.10305513514,-3.54518675264
7.02820143206,-3.5957906322,-3.10383398129,-3.54594347888
7.02908756415,-3.59664548572,-3.09144458614,-3.54598774088
7.02997291171,-3.59660258508,-3.09228117038,-3.54681390286
7.03085747612,-3.59704545281,-3.09297951966,-3.54769836889
7.03174125876,-3.59787661057,-3.09368157871,-3.54857381081
7.03262426103,-3.59863361485,-3.09167742448,-3.54939820138
7.03350648429,-3.5995087912,-3.09239556895,-3.55023076789
7.03438792992,-3.59976091332,-3.09322396935,-3.55110413852
7.03526859928,-3.59970569375,-3.09401613669,-3.55191591119
7.03614849375,-3.6005765585,-3.09471536435,-3.5527900732
7.03702761469,-3.60088916693,-3.09546147051,-3.55364618824
7.03790596345,-3.60152864586,-3.09617817389,-3.55451357611
7.03878354139,-3.60240608179,-3.09694189799,-3.55538637809
7.03966034986,-3.60326916586,-3.09503675399,-3.55616628388
7.04053639022,-3.604145204,-3.09590945072,-3.55552104377
7.04141166379,-3.60501051522,-3.0967839481,-3.55638527043
7.04228617194,-3.60585579931,-3.09765737398,-3.55724199982
7.04315991599,-3.60639052065,-3.09844581345,-3.55807648188
7.04403289727,-3.60725816455,-3.09916124859,-3.55894308081
7.04490511713,-3.60812812406,-3.09934788514,-3.55703971532
7.04577657688,-3.60893666671,-3.10006952045,-3.55787718469
7.04664727785,-3.60842524113,-3.10086931334,-3.5587473865
7.04751722136,-3.60906795832,-3.10156795505,-3.55961670782
7.04838640872,-3.60989361544,-3.10235010871,-3.56048313371
7.04925484126,-3.61076199257,-3.10321592041,-3.55834194589
7.05012252027,-3.61148188923,-3.10390414906,-3.559208614
7.05098944707,-3.61193501721,-3.10476275807,-3.5580796466
7.05185562296,-3.61272863334,-3.10546910892,-3.55887859475
7.05272104923,-3.61359198652,-3.10621670053,-3.55965802535
7.05358572719,-3.6128497309,-3.10684511437,-3.56025963893
7.05444965813,-3.61371258595,-3.10769120638,-3.56067044667
7.05531284334,-3.61452340067,-3.10837714146,-3.56153362345
7.0561752841,-3.61538446005,-3.10866963769,-3.56049260815
7.0570369817,-3.61580627575,-3.10935285991,-3.56135198148
7.05789793741,-3.61663382844,-3.11015973695,-3.56149200368
7.05875815252,-3.61745161148,-3.11090856427,-3.56234478302
7.05961762829,-3.61831073612,-3.11175272656,-3.56265963035
7.060476366,-3.6191292167,-3.11079218504,-3.56309651476
7.06133436691,-3.61988755523,-3.11097791471,-3.56387300416
7.06219163229,-3.62044339223,-3.11177979254,-3.56468355258
7.06304816339,-3.62129949046,-3.11248868552,-3.56545718877
7.06390396147,-3.62214424004,-3.1131195196,-3.56629282753
7.06475902779,-3.62299791722,-3.11380349305,-3.56712576196
7.0656133636,-3.62366350578,-3.11365241814,-3.56748509541
7.06646697014,-3.6245094115,-3.11438504435,-3.56821515435
7.06731984865,-3.62503308407,-3.11502035182,-3.56769152798
7.06817200039,-3.62526764971,-3.1157128314,-3.56854113743
7.06902342658,-3.62611896122,-3.1165462894,-3.56932616718
7.06987412846,-3.6269685306,-3.11736973827,-3.56966646292
7.07072410726,-3.62777942903,-3.11800746128,-3.56707312239
7.07157336421,-3.62841188967,-3.11869352069,-3.56792227275
7.07242190054,-3.62925223498,-3.11936252648,-3.56877067356
7.07326971746,-3.63009829379,-3.12008505909,-3.56954835164
7.0741168162,-3.63094495297,-3.120925796,-3.57002986626
7.07496319797,-3.63094859361,-3.1216423863,-3.57081847407
7.07580886398,-3.63146683961,-3.12233103248,-3.5716632664
7.07665381544,-3.63171264633,-3.12299678948,-3.57250563164
7.07749805357,-3.63255488094,-3.12377250398,-3.57329153845
7.07834157956,-3.6333035476,-3.12444433735,-3.5741335907
7.07918439461,-3.63414633064,-3.12510857995,-3.57497640572
7.08002649992,-3.63473274474,-3.12590269152,-3.57552501485
7.08086789669,-3.63555283785,-3.12634676109,-3.57635081226
7.08170858611,-3.6362279743,-3.12717918185,-3.57715470469
7.08254856936,-3.63706795751,-3.12801699145,-3.57745502921
7.08338784763,-3.6351869392,-3.12867884606,-3.57829371795
7.0842264221,-3.63585109408,-3.12935743715,-3.57913219264
7.08506429395,-3.63634511998,-3.13019486568,-3.57815782941
7.08590146437,-3.6371631724,-3.13100793739,-3.57898090858
7.08673793451,-3.63794753621,-3.12980770287,-3.57437072519
7.08757370556,-3.63877962797,-3.13049868885,-3.57519613513
7.08840877868,-3.63960129529,-3.1312117814,-3.5744756038
7.08924315503,-3.64042197529,-3.13188813501,-3.57530481979
7.09007683578,-3.64116181328,-3.13255316485,-3.57613847354
7.09090982208,-3.64193738406,-3.13323338685,-3.57693188946
7.0917421151,-3.64225770232,-3.13388998344,-3.57776413675
7.09257371597,-3.64272513871,-3.13454518204,-3.57859538525
7.09340462587,-3.64353117355,-3.13523640566,-3.57940356081
7.09423484592,-3.64154337024,-3.13594134002,-3.58013335421
7.09506437729,-3.64237249084,-3.13668820729,-3.58096136206
7.0958932211,-3.64319880127,-3.13676369279,-3.5762857129
7.09672137849,-3.64401892387,-3.13746074778,-3.57501102129
7.09754885061,-3.64484639514,-3.13812980604,-3.57582074103
7.09837563859,-3.64537456353,-3.13885214889,-3.57656485232
7.09920174355,-3.64604593427,-3.13950300161,-3.57739009221
7.10002716663,-3.64503146764,-3.14016365006,-3.57821549513
7.10085190894,-3.64579491299,-3.14082164117,-3.57903768611
7.10167597162,-3.64659685228,-3.14162310128,-3.57842272687
7.10249935577,-3.64739594893,-3.14244598223,-3.57918425992
7.10332206253,-3.64808594835,-3.14312175257,-3.57999681232
7.10414409299,-3.64888476999,-3.14377033877,-3.58081594378
7.10496544827,-3.64969824536,-3.1444210902,-3.58162771189
7.10578612948,-3.65007034699,-3.14518812172,-3.58241372147
7.10660613773,-3.65011532588,-3.1459785829,-3.58307277323
7.10742547411,-3.65083240873,-3.14665835684,-3.58388316121
7.10824413973,-3.65161402159,-3.14740586078,-3.58443654621
7.10906213569,-3.65079426152,-3.14805775549,-3.58525360753
7.10987946307,-3.65157479169,-3.14887504741,-3.5850577191
7.11069612298,-3.65170407859,-3.14968592459,-3.5850829163
7.1115121165,-3.65251994065,-3.15033679245,-3.58589890205
7.11232744471,-3.65308565689,-3.15105708989,-3.58668276496
7.11314210871,-3.65355543867,-3.14399407507,-3.58063561286
7.11395610957,-3.65436620794,-3.14464318688,-3.58144924895
7.11476944837,-3.65514340983,-3.1453507798,-3.58225931351
7.11558212618,-3.65577853453,-3.14614470786,-3.58304199703
7.11639414409,-3.65658535456,-3.14665767602,-3.58384469177
7.11720550316,-3.65738792415,-3.14732881982,-3.58452073032
7.11801620447,-3.65793491402,-3.14809891977,-3.5852667263
7.11882624906,-3.65866151718,-3.14890822532,-3.58540474004
7.11963563802,-3.65947007641,-3.14971346113,-3.58615055347
7.12044437239,-3.6602788107,-3.14759124807,-3.58479188433
7.12125245324,-3.65628557689,-3.14827524421,-3.58557914449
7.12205988163,-3.6570891337,-3.14892371324,-3.58638173991
7.1228666586,-3.65780582072,-3.14971670484,-3.58706823071
7.1236727852,-3.65740329622,-3.15048403013,-3.5877268252
7.12447826249,-3.65626741208,-3.14992463481,-3.57827293833
7.12528309151,-3.65706380378,-3.15066387567,-3.57907285527
7.1260872733,-3.65734229522,-3.15146259151,-3.57924397931
7.1268908089,-3.65812890465,-3.15211036491,-3.57780137731
7.12769369935,-3.6589256891,-3.15285478147,-3.57856996706
7.12849594568,-3.65890669231,-3.15358240375,-3.57934426095
7.12929754893,-3.65966109862,-3.15429261361,-3.58000746517
7.13009851013,-3.66045431875,-3.1549713687,-3.58070717934
7.1308988303,-3.6601025377,-3.15577159478,-3.58139574079
7.13169851047,-3.66085942737,-3.15653765787,-3.58218318269
7.13249755166,-3.66165320214,-3.15716738997,-3.58298217652
7.1332959549,-3.6624297683,-3.15794638499,-3.58378008741
7.13409372119,-3.66322705351,-3.15871316639,-3.58410790846
7.13489085157,-3.66402418051,-3.15920297528,-3.58361808249
7.13568734703,-3.66143243836,-3.15983802104,-3.58440532178
7.13648320859,-3.66216441536,-3.16032985037,-3.58429443325
7.13727843726,-3.66291081886,-3.16096050734,-3.58508699643
7.13807303404,-3.66370537988,-3.16175420679,-3.58532352455
7.13886699995,-3.6644011213,-3.16249871791,-3.58570074911
7.13966033596,-3.66516001898,-3.16316969898,-3.58645489953
7.1404530431,-3.66594080251,-3.16391591324,-3.58724605252
7.14124512235,-3.66673079608,-3.16454537854,-3.58803629921
7.14203657471,-3.66752151305,-3.16525526396,-3.58874055359
7.14282740116,-3.66796655425,-3.16598917282,-3.58953014552
7.1436176027,-3.66873316581,-3.1667788071,-3.59029299085
7.14440718032,-3.66948588517,-3.16475977304,-3.59084003981
7.145196135,-3.67016663512,-3.16552065831,-3.59153527959
7.14598446771,-3.67095445381,-3.16620560241,-3.59232358674
7.14677217945,-3.67173145717,-3.16695967688,-3.59303355282
7.14755927119,-3.67245498535,-3.16767982596,-3.59380831562
7.1483457439,-3.66776669434,-3.16839301445,-3.59459131711
7.14913159856,-3.66843693269,-3.16910790163,-3.59482590767
7.14991683613,-3.66900994347,-3.16974428687,-3.59560953329
7.15070145759,-3.668767456,-3.17048745519,-3.59484852495
7.1514854639,-3.66952683419,-3.17114395984,-3.59553521745
7.15226885603,-3.6699275841,-3.17191257889,-3.59260247154
7.15305163494,-3.67050072187,-3.17255743641,-3.59338461271
7.15383380158,-3.67120609831,-3.17319216862,-3.59416016317
7.15461535691,-3.67198764201,-3.17390204813,-3.59486014641
7.1553963019,-3.67276586308,-3.1745389501,-3.5956129535
7.15617663748,-3.67344443553,-3.17527305857,-3.59635487035
7.15695636462,-3.67419642801,-3.17595485223,-3.59712168982
7.15773548425,-3.67485844284,-3.17665315433,-3.59665983852
7.15851399733,-3.67552357078,-3.17604096546,-3.59738816049
7.1592919048,-3.67630146544,-3.17666635849,-3.59815980756
7.1600692076,-3.67698807517,-3.17744199588,-3.59813712789
7.16084590666,-3.67616968738,-3.17808837345,-3.59891009974
7.16162200294,-3.67686127384,-3.17883293558,-3.59887012201
7.16239749736,-3.67477085492,-3.17960657335,-3.59906898
7.16317239085,-3.67548389729,-3.18037130373,-3.59967874384
7.16394668434,-3.67456481183,-3.18110945865,-3.60043093047
7.16472037877,-3.67521652409,-3.18173092712,-3.60118006535
7.16549347506,-3.67598275818,-3.17891204594,-3.6001489986
7.16626597413,-3.67535370863,-3.17958963992,-3.60031470708
7.16703787691,-3.67612557623,-3.18021521298,-3.60108502273
7.16780918432,-3.67689212124,-3.18095527418,-3.60160088728
7.16857989726,-3.67741352771,-3.18172427334,-3.6022416276
7.16935001667,-3.67804828608,-3.18240946572,-3.60264365226
7.17011954345,-3.67847722403,-3.18313804178,-3.60317609199
7.17088847851,-3.67918622079,-3.18379792305,-3.60393958589
7.17165682277,-3.67995455917,-3.1845263491,-3.603705889
7.17242457712,-3.68072208671,-3.1852843417,-3.60447351972
7.17319174249,-3.68148906524,-3.18599140842,-3.60508114129
7.17395831976,-3.68215654807,-3.18667360176,-3.60584708248
7.17472430984,-3.682697507,-3.18740892002,-3.60644167138
7.17548971362,-3.68346218794,-3.18817431792,-3.60712719363
7.17625453202,-3.68421531376,-3.18893750824,-3.60785527095
7.17701876591,-3.68497776662,-3.18960683006,-3.60719216518
7.1777824162,-3.68570135962,-3.1902320539,-3.6079551873
7.17854548376,-3.68493097918,-3.19098788813,-3.60804173257
7.1793079695,-3.68569338666,-3.19121634683,-3.60873327207
7.1800698743,-3.6864552527,-3.19115841104,-3.60879888461
7.18083119904,-3.68685733354,-3.19185233297,-3.60948307923
7.18159194461,-3.68761807398,-3.19260586426,-3.6102436813
7.18235211189,-3.68836077581,-3.19326286713,-3.611000627
7.18311170174,-3.68910711761,-3.19393450601,-3.61173748192
7.18387071506,-3.6898658616,-3.19453203732,-3.61248883864
7.18462915272,-3.6905899111,-3.19513008655,-3.61324727605
7.18538701558,-3.6909140953,-3.1957589485,-3.61387777758
7.18614430452,-3.69147326526,-3.19649943285,-3.61428257681
7.18690102041,-3.69222379523,-3.19714299274,-3.61503225062
7.18765716411,-3.69223177346,-3.19730866943,-3.61073762583
7.1884127365,-3.69297476542,-3.19790879339,-3.61149295897
7.18916773842,-3.69360427947,-3.19865282561,-3.61176900249
7.18992217075,-3.69410328421,-3.1993146788,-3.61251549368
7.19067603433,-3.69485668679,-3.19995882876,-3.61320283947
7.19142933004,-3.69533190268,-3.20065737086,-3.61395403766
7.19218205871,-3.69512898811,-3.20124946588,-3.61470676629
7.19293422122,-3.69577202533,-3.20197197839,-3.61505265937
7.1936858184,-3.69596348938,-3.20089623744,-3.61524908791
7.1944368511,-3.69671165181,-3.2016280015,-3.61495649236
7.19518732018,-3.6974306048,-3.20230928672,-3.615703839
7.19593722648,-3.69816533461,-3.20301194992,-3.61628121394
7.19668657083,-3.69854388114,-3.20375780369,-3.61675218207
7.1974353541,-3.69924420764,-3.20446110934,-3.61557676767
7.1981835771,-3.69969731351,-3.2049443704,-3.61631572691
7.19893124069,-3.70044458562,-3.20129642348,-3.61705210341
7.19967834569,-3.69691140623,-3.20196524756,-3.6177893869
7.20042489294,-3.69751045303,-3.20219198482,-3.618426487
7.20117088328,-3.69776793145,-3.2027943931,-3.6191137782
7.20191631753,-3.6984056583,-3.20337866333,-3.61985906088
7.20266119652,-3.69832770804,-3.20352665018,-3.62053694554
7.20340552108,-3.6989970896,-3.20426141266,-3.62080638074
7.20414929204,-3.69967846878,-3.20492355622,-3.62153912059
7.2048925102,-3.70038347137,-3.20551835506,-3.62223984926
7.20563517641,-3.70039318605,-3.20558809635,-3.62099352098
7.20637729147,-3.70110487345,-3.20630410194,-3.62133931843
7.20711885621,-3.70176164166,-3.20684523795,-3.62089279735
7.20785987143,-3.70250205708,-3.20747486914,-3.62157945871
7.20860033796,-3.70321410847,-3.19987221358,-3.62129334014
7.2093402566,-3.70393939004,-3.19945396512,-3.61879451812
7.21007962817,-3.70368750953,-3.20018902236,-3.61878887944
7.21081845347,-3.70429223458,-3.20083425341,-3.61947730331
7.21155673331,-3.70502846773,-3.20134250915,-3.62018331536
7.2122944685,-3.70521069775,-3.20191993935,-3.62092103571
7.21303165983,-3.70594732682,-3.20250030053,-3.62165430113
7.21376830812,-3.70631431071,-3.20322187829,-3.62238656208
7.21450441415,-3.70547203156,-3.20391508008,-3.62312127467
7.21523997873,-3.70618201408,-3.2046425613,-3.62379869362
7.21597500265,-3.70691692826,-3.2053307269,-3.62451499445
7.21670948671,-3.70765104832,-3.20505351817,-3.62524885229
7.2174434317,-3.70835052802,-3.20562820506,-3.62598196955
7.2181768384,-3.70860638406,-3.20631119182,-3.626704774
7.21890970762,-3.70932376505,-3.20596446925,-3.62739119676
7.21964204013,-3.70867822898,-3.20667946286,-3.62738160547
7.22037383672,-3.70892613447,-3.20727656155,-3.62810535801
7.22110509818,-3.70965693208,-3.20798302339,-3.62874002767
7.22183582529,-3.7100610986,-3.20855435641,-3.62947075463
7.22256601882,-3.70975888747,-3.20921991341,-3.63019536066
7.22329567956,-3.71047878431,-3.20989635111,-3.63075632548
7.22402480829,-3.71120788628,-3.21049504913,-3.6313987387
7.22475340577,-3.7119364218,-3.2112236208,-3.63056788729
7.22548147278,-3.71265618464,-3.21149627102,-3.63112929459
7.2262090101,-3.71322636696,-3.21221334015,-3.63185462668
7.22693601849,-3.7132783748,-3.21283254706,-3.6325816088
7.22766249873,-3.71352935722,-3.21340616796,-3.63330799222
7.22838845157,-3.71401415763,-3.21398867978,-3.6340233596
7.22911387779,-3.71468539962,-3.21471383329,-3.63444486813
7.22983877815,-3.70753183065,-3.21530171129,-3.63516288494
7.23056315341,-3.70753902264,-3.2157573796,-3.6351224114
7.23128700433,-3.70777677662,-3.21633308424,-3.63583707039
7.23201033166,-3.70843093505,-3.21692508832,-3.63655869166
7.23273313618,-3.70915224084,-3.21748556046,-3.63649411966
7.23345541862,-3.70966468692,-3.21819362629,-3.63659191952
7.23417717975,-3.70981481605,-3.21772258475,-3.63710237973
7.23489842031,-3.71053588188,-3.21833051675,-3.63778964266
7.23561914107,-3.71124827849,-3.21901271683,-3.63831118573
7.23633934275,-3.71189109229,-3.21966816741,-3.63898030814
7.23705902612,-3.71261065338,-3.22023276773,-3.63969924713
7.23777819192,-3.71330749753,-3.21929389748,-3.64038593862
7.23849684089,-3.71399987809,-3.21999603389,-3.64097632909
7.23921497378,-3.71467335657,-3.22055747872,-3.64168639142
7.23993259132,-3.71467269465,-3.22127256308,-3.6417981787
7.24064969426,-3.71536778941,-3.2219031817,-3.64251107627
7.24136628332,-3.71608409157,-3.22246250056,-3.64322756641
7.24208235926,-3.71550023798,-3.22315853229,-3.64366740819
7.24279792279,-3.71616533166,-3.22387401796,-3.64428007912
7.24351297467,-3.71682546736,-3.22453528186,-3.64483193198
7.2442275156,-3.71737807329,-3.2250940723,-3.64554641688
7.24494154634,-3.71809186144,-3.22565926086,-3.6462548917
7.24565506759,-3.71803921343,-3.22622369043,-3.64695493434
7.2463680801,-3.71875049475,-3.22679509854,-3.64766777627
7.24708058459,-3.71944890148,-3.22739366027,-3.64828172892
7.24779258177,-3.71980813233,-3.22795045777,-3.64899353417
7.24850407237,-3.72048538098,-3.22858537722,-3.64704436686
7.24921505711,-3.72059244,-3.22914962405,-3.64775363067
7.24992553672,-3.72130191786,-3.22985266078,-3.64652500066
7.2506355119,-3.7219914927,-3.23049389963,-3.64710818998
7.25134498337,-3.72260895827,-3.23107699673,-3.64771850148
7.25205395185,-3.72331163928,-3.22771037184,-3.64696034057
7.25276241805,-3.72401859576,-3.22831529635,-3.64764984932
7.25347038268,-3.72472647206,-3.22846677463,-3.64647655163
7.25417784646,-3.72540516496,-3.22911254961,-3.64718086341
7.25488481008,-3.72557905851,-3.22971243243,-3.64786570022
7.25559127425,-3.72618036784,-3.23030780074,-3.64856257153
7.25629723969,-3.72653112383,-3.23101278745,-3.64907586805
7.25700270709,-3.72609518628,-3.23171750608,-3.64942010878
7.25770767716,-3.72680015615,-3.23233379796,-3.65009547981
7.2584121506,-3.72705446855,-3.23302498977,-3.6507832267
7.2591161281,-3.72773742968,-3.23364012988,-3.65147436823
7.25981961036,-3.7282649722,-3.23412445639,-3.64830762825
7.26052259809,-3.72896461285,-3.23482736341,-3.64890775442
7.26122509197,-3.72954503478,-3.23552953141,-3.64958877819
7.2619270927,-3.73021977053,-3.23613668861,-3.65022247198
7.26262860097,-3.72748600697,-3.23675428272,-3.65091355868
7.26332961748,-3.72750728332,-3.23745462302,-3.65148751679
7.2640301429,-3.72654578033,-3.23807528982,-3.65218042501
7.26473017793,-3.72709438835,-3.23874996086,-3.65259369228
7.26542972325,-3.7277903311,-3.2392954808,-3.65329321259
7.26612877956,-3.72848938522,-3.23995501536,-3.65378145628
7.26682734752,-3.7291825657,-3.24055252203,-3.65400036728
7.26752542783,-3.72949131214,-3.24109919287,-3.65467938684
7.26822302116,-3.72956634669,-3.24170646926,-3.6553753383
7.26892012819,-3.72929509553,-3.2423700892,-3.65601699505
7.26961674961,-3.72998872561,-3.24292372821,-3.65671360497
7.27031288608,-3.73057393049,-3.24348972354,-3.65737808329
7.27100853828,-3.73125880147,-3.24418464562,-3.65602616231
7.27170370689,-3.73145210737,-3.24483023204,-3.65672077879
7.27239839257,-3.73133227434,-3.24547503296,-3.65681947616
7.273092596,-3.73198879602,-3.24608172141,-3.65746148912
7.27378631784,-3.73250715968,-3.24676610601,-3.6580911453
7.27447955877,-3.73319590493,-3.24741565171,-3.65830746359
7.27517231945,-3.73375358205,-3.24795887725,-3.65898829487
7.27586460055,-3.73444576012,-3.24470269822,-3.65949681139
7.27655640272,-3.73512284956,-3.24538712474,-3.65915968512
7.27724772663,-3.73578793496,-3.24592742022,-3.65985094604
7.27793857295,-3.73647739287,-3.24622292458,-3.65971987532
